Tipo,Num_Agentes,Num_Iterações,Dimensão,Limite_Inferior,Limite_Superior,Num_Neurônios,Learning_Rate,Train_Accuracy,Validation_Accuracy,Test_Accuracy
GSA,2,3,2,"[10, 0.0001]","[100, 0.01]",47.27899332675588,0.0087431398830898,0.8996666669845581,0.7971875071525574,0.8087499737739563
PSO,1,3,2,"[10, 0.0001]","[100, 0.01]",47.87874676243591,0.0087753845747881,0.878333330154419,0.7909374833106995,0.8025000095367432
PSO,2,3,2,"[10, 0.0001]","[100, 0.01]",75.22757411441034,0.005416040477848398,0.9545833468437195,0.8712499737739563,0.893750011920929
PSO,2,5,2,"[10, 0.0001]","[100, 0.01]",52.05586527933356,0.0014469380436244,0.9762499928474426,0.9259374737739564,0.9375
